OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
0.396581,0.273828,0.279409,102.267002,7.020361,0.273779,1.041193,139.681018,122.536402,113.722469,1
0.385009,0.268345,0.255766,96.110582,7.023775,0.581568,1.050093,122.532376,118.435237,116.500635,1
0.169872,0.172793,0.222875,99.534527,7.413336,0.287995,0.991296,125.070854,126.902990,127.566049,1
0.375791,0.262399,0.138843,98.952982,7.353413,0.340106,0.956473,121.365823,138.742717,145.587184,1
0.418651,0.275950,0.272452,96.228966,7.029566,0.324944,0.967413,121.401748,148.846934,159.686995,1
0.126774,0.154783,0.254081,101.374704,6.918875,0.319970,0.953329,127.249515,153.139887,163.377904,1
0.130778,0.154059,0.186829,101.782705,7.072437,0.574793,0.938758,133.231575,159.705720,170.059601,1
0.127733,0.169033,0.132503,106.317217,7.169421,0.269047,0.952630,134.341054,178.067095,194.031816,1
0.090068,0.174668,0.159946,101.887277,7.131049,0.472298,0.936863,117.953151,185.405365,208.613436,1
0.077941,0.169312,0.169327,104.899155,7.037521,0.179403,0.944764,124.162281,196.060327,220.822988,1
0.072532,0.173309,0.203269,105.974956,6.839549,0.227830,0.990620,104.180932,213.390966,246.585636,1
0.101947,0.173406,0.218023,101.398361,6.951431,0.343313,1.038923,100.525771,220.735639,257.038914,1
0.082046,0.162395,0.262394,101.054099,7.234835,0.429547,1.014801,111.662987,221.372852,255.753243,1
0.059505,0.148890,0.164961,105.160753,7.245988,0.259724,0.944273,123.700980,217.719259,248.557240,1
0.076377,0.160960,0.167054,106.163826,7.111951,0.291562,0.958197,110.485580,220.378748,254.603511,1
0.076789,0.162278,0.143630,97.318195,7.079641,0.157917,0.964450,96.372596,212.845292,247.954995,1
0.062649,0.163128,0.166481,106.119940,6.880068,0.259791,0.968655,114.910113,228.187263,263.648320,1
0.070081,0.154096,0.170757,101.407608,6.750500,0.240190,1.063071,113.625828,235.596191,273.217335,1
0.074395,0.157418,0.164192,102.728948,6.834343,0.368035,1.141779,104.885228,240.372397,280.682239,1
0.070530,0.155427,0.159863,106.016080,7.160576,0.270299,1.050937,113.542508,237.515596,275.592690,1
0.059507,0.151125,0.171799,105.149498,7.467211,0.253703,1.090721,115.718184,239.007600,277.053624,1
0.064599,0.150813,0.149897,107.604854,7.392199,0.176583,1.110127,110.042780,232.595553,270.104838,1
0.063960,0.157906,0.170132,101.106195,7.183213,0.324705,1.128368,98.029952,212.473905,247.159393,1
