OFS_FIB_MDF,OFS_FIB_MNF,EMG_EMG_MDF,IMU2_AccX_Mean,OFS_FIB_IMNF,IMU2_AccX_RMS,IMU2_AccX_StdDev,EMG_EMG_IMNF,IMU2_AccZ_RMS,IMU2_GyroY_RMS,Fatigue_level
0.187252,0.236876,0.436669,98.475177,0.786327,123.677108,136.926195,7.183411,270.57721,1189.934819,0
0.294988,0.549507,0.177491,99.455672,0.805221,137.994428,157.558006,7.153163,310.53177,1582.838515,0
0.295945,0.512797,0.286263,104.66976,0.795241,144.81454,165.362234,7.337525,322.673248,1710.806892,0
0.280305,0.481126,0.251945,99.208499,0.788313,141.321419,162.498286,7.510327,334.684953,1771.143766,0
0.202239,0.223471,0.227711,94.798468,0.77924,136.01587,156.716534,7.562717,335.177527,1776.219566,0
0.238755,0.372477,0.79154,100.841172,0.770627,134.188624,151.443144,7.743949,330.155036,1676.080015,0
0.302746,0.46825,0.18954,105.059225,0.770003,134.909242,150.803364,7.551401,347.378168,1788.883826,0
0.331835,0.681144,0.298335,97.297979,0.768452,139.085006,160.045149,7.328817,318.361896,1863.262919,0
0.285037,0.435427,0.242202,107.207004,0.774517,152.538682,175.410484,7.577015,288.443128,1828.307327,0
0.339831,0.645245,0.317343,90.167997,0.772546,146.970366,173.641112,7.875367,279.315185,1955.098242,0
0.27707,0.454245,0.420895,95.061031,0.754719,145.940382,170.639671,7.895654,282.477331,1940.213016,0
0.311415,0.613574,0.339046,106.449507,0.809412,140.643687,158.557566,7.448345,292.146919,1929.188701,0
0.263523,0.358357,0.559519,108.149396,1.067186,138.690277,155.00359,7.344392,291.472714,1899.717538,0
0.205274,0.298139,0.269914,101.055076,1.366289,133.4009,150.459929,22.285142,268.921736,1959.384853,0
0.288732,0.452867,0.356989,93.518226,1.141357,131.893015,150.795287,26.385576,246.492589,1801.812263,1
0.224765,0.312395,0.316695,6.810327,0.97051,16.112261,14.647189,7.23845,9.04519,269.140161,1
0.253263,0.541397,0.270159,7.270545,1.007847,17.697737,16.184959,7.025622,9.123566,257.485695,1
0.266748,0.42811,0.434459,7.143394,0.971194,19.618082,18.303881,7.375941,10.39755,284.582067,1
0.174193,0.187407,0.612906,6.422634,1.015639,19.904635,18.890661,7.649577,10.973774,284.075973,1
0.224782,0.274529,0.242615,7.264272,1.025614,19.819309,18.491932,7.163949,11.186483,281.392295,1
0.212944,0.357347,1.013114,6.840172,0.982234,18.733909,17.472696,7.362628,11.204558,297.168378,1
0.157769,0.178793,0.279877,6.472123,1.122494,18.385463,17.250768,6.737385,11.256785,302.086403,1
0.241943,0.375293,0.415484,7.113137,1.311718,18.530688,17.146219,7.331857,11.270244,298.995802,1
0.191992,0.275412,0.285061,6.869728,2.882384,18.127221,16.808534,8.115172,10.659804,276.32479,1
0.190694,0.203028,0.455003,6.667879,3.243424,17.587207,16.314528,8.168446,9.787279,261.001096,2
0.235786,0.32954,0.366749,6.87144,2.718446,18.154661,16.833604,7.205189,9.955993,255.09444,2
0.207045,0.383208,0.171659,7.224316,1.988857,19.0186,17.634543,7.376392,10.597272,259.44087,2
0.216755,0.325032,0.294875,7.376271,1.427662,18.64513,17.170476,7.440051,10.825105,271.297727,2
0.145295,0.15147,0.194189,6.907211,1.188261,17.549024,16.168961,7.277514,11.308053,283.964571,2
0.223866,0.421072,0.115804,7.142595,1.132594,17.654501,16.186758,7.067513,10.564946,274.951124,2
0.204585,0.288362,0.242032,7.224004,1.127236,17.745623,16.237974,7.006564,10.469344,261.379477,2
0.115401,0.096016,0.209847,6.475396,1.143482,17.703421,16.508714,6.858808,12.58005,282.854446,2
0.263304,0.49241,0.122441,7.299441,1.185354,19.773853,18.422584,6.912943,14.646015,311.568575,2
0.200663,0.318868,0.255419,6.960723,1.197525,21.254539,20.106822,6.964066,15.125317,303.875616,2
0.197488,0.327955,0.228744,7.664986,1.172972,22.083588,20.764393,6.919482,14.807321,300.066828,2
0.227831,0.333244,0.213473,6.500475,1.147645,20.764382,19.765977,6.938449,14.839328,310.567137,2
0.216563,0.357556,0.288176,6.792227,1.133415,20.992489,19.905608,6.886258,15.454216,325.089624,2
0.148735,0.148072,0.278898,6.91134,1.13601,21.679192,20.60783,7.017432,15.051557,308.686786,2
0.183662,0.366192,0.250657,7.186754,1.127936,21.554688,20.374754,7.338906,14.528035,310.128457,2
0.208478,0.324929,0.513302,7.598355,1.108771,22.191447,20.903731,7.618549,12.665704,277.667758,2
0.157114,0.337117,0.183952,7.007872,1.202114,21.792498,20.662956,7.676443,13.467839,256.043938,2
0.255617,0.301217,0.206311,6.950613,1.282756,22.449201,21.397938,7.385369,11.82951,229.844605,2
0.200723,0.294317,0.149163,7.695483,1.249184,24.26492,23.066437,7.079524,11.451337,222.756462,2
0.231198,0.307025,0.306098,6.682339,1.137848,23.798345,22.884504,7.116084,11.862398,246.235459,2
0.172337,0.27031,0.273535,6.301413,1.10597,23.954646,23.182944,7.470221,12.804954,251.232266,2
0.214534,0.297352,0.282935,7.334265,1.222198,24.764611,23.715296,7.733084,12.471352,243.443242,2
0.205959,0.303641,0.164111,7.510364,1.325883,25.781336,24.722625,7.653921,12.466127,264.054518,2
0.224078,0.294224,0.24341,7.012611,1.31017,25.621514,24.691583,7.415846,12.601734,288.334395,2
0.219752,0.329694,0.215911,7.273054,1.164916,24.976214,23.955412,7.032138,12.348386,324.288299,2
0.177087,0.283818,0.214244,6.648296,1.049275,24.525614,23.663507,6.694113,12.282952,360.213234,2
0.230943,0.294845,0.361703,6.208051,1.038109,23.333852,22.553956,6.501288,12.810261,394.879761,2
0.186063,0.310669,0.191351,6.93198,1.038112,21.565059,20.450191,6.426558,13.441837,419.588218,2
0.271083,0.363927,0.225263,7.021363,1.065296,20.245815,19.02292,6.421208,14.075422,449.477946,2
0.184112,0.32823,0.291271,6.938325,1.144661,21.202235,20.091179,6.446118,15.172083,465.215734,2
0.222905,0.257718,0.172122,6.795486,1.186392,22.063013,21.039074,6.446303,17.535336,485.903874,2
0.190196,0.261513,0.319969,6.551722,1.140484,21.428885,20.462791,6.469016,18.808451,472.405918,2
0.1331,0.141902,0.351119,147.730375,1.821376,318.359664,329.280597,24.802331,1310.384448,3691.360944,0
0.13158,0.130317,0.280711,65.732923,1.631419,145.411543,150.167817,11.743674,593.111458,1682.098762,1
0.139434,0.138514,0.184717,0.115207,0.805895,11.88795,11.90363,24.896189,18.883068,112.824365,2
0.120311,0.152632,0.484922,-0.149997,0.676421,13.446158,13.463908,6.771021,21.679313,123.055299,2
0.179042,0.502446,0.10962,-0.192721,0.666571,14.620393,14.641203,6.923145,20.436427,124.258732,2
0.124071,0.118978,0.100908,106.057559,0.71688,107.528875,111.695456,6.445417,95.233727,574.852318,0
